	0
LOC109397699	0
LOC109397703	0
LOC109397704	0
LOC109397705	0
LOC109397706	0
LOC109397708	0
LOC109397710	0
LOC109397712	0
LOC109397715	0
LOC109397716	0
LOC109397717	0
LOC109397718	0
LOC109397721	0
LOC109397722	0
LOC109397724	2
LOC109397725	0
LOC109397726	0
LOC109397727	1
LOC109397732	0
LOC109397734	0
LOC109397735	0
LOC109397738	0
LOC109397739	0
LOC109397740	0
LOC109397742	0
LOC109397743	0
LOC109397745	0
LOC109397748	0
LOC109397749	0
LOC109397755	4
LOC109397760	0
LOC109397764	0
LOC109397766	0
LOC109397767	0
LOC109397768	0
LOC109397769	0
LOC109397770	0
LOC109397771	0
LOC109397772	0
LOC109397774	0
LOC109397776	1
LOC109397778	0
LOC109397779	0
LOC109397781	0
LOC109397782	0
LOC109397783	0
LOC109397784	0
LOC109397786	1
LOC109397789	1
LOC109397792	0
LOC109397796	0
LOC109397797	0
LOC109397798	0
LOC109397799	0
LOC109397801	1
LOC109397804	0
LOC109397805	0
LOC109397806	0
LOC109397808	0
LOC109397811	0
LOC109397812	0
LOC109397813	636
LOC109397814	0
LOC109397815	0
LOC109397816	1
LOC109397817	0
LOC109397818	0
LOC109397819	0
LOC109397820	0
LOC109397821	0
LOC109397823	0
LOC109397824	0
LOC109397825	0
LOC109397826	0
LOC109397828	0
LOC109397829	0
LOC109397831	0
LOC109397833	0
LOC109397835	0
LOC109397838	2
LOC109397841	0
LOC109397845	1
LOC109397847	0
LOC109397852	3
LOC109397853	0
LOC109397856	0
LOC109397857	0
LOC109397858	0
LOC109397859	0
LOC109397861	0
LOC109397863	0
LOC109397864	3
LOC109397865	0
LOC109397866	0
LOC109397867	0
LOC109397869	0
LOC109397872	0
LOC109397874	0
LOC109397880	0
LOC109397881	0
LOC109397882	0
LOC109397884	0
LOC109397885	1
LOC109397886	0
LOC109397887	0
LOC109397888	0
LOC109397889	0
LOC109397890	0
LOC109397896	1
LOC109397898	10
LOC109397900	0
LOC109397902	1
LOC109397908	2
LOC109397909	4
LOC109397910	0
LOC109397911	0
LOC109397913	0
LOC109397914	0
LOC109397917	0
LOC109397918	0
LOC109397922	0
LOC109397923	0
LOC109397924	0
LOC109397925	1
LOC109397927	1
LOC109397928	0
LOC109397930	0
LOC109397933	0
LOC109397934	0
LOC109397935	0
LOC109397936	0
LOC109397937	0
LOC109397940	0
LOC109397944	1
LOC109397946	0
LOC109397949	0
LOC109397956	0
LOC109397957	0
LOC109397959	0
LOC109397960	0
LOC109397962	0
LOC109397963	0
LOC109397964	0
LOC109397965	0
LOC109397967	0
LOC109397969	0
LOC109397975	0
LOC109397976	0
LOC109397978	0
LOC109397980	0
LOC109397983	2
LOC109397984	0
LOC109397990	0
LOC109397991	0
LOC109397992	0
LOC109397993	0
LOC109397994	0
LOC109397995	0
LOC109397997	0
LOC109397999	0
LOC109398001	0
LOC109398003	1
LOC109398004	0
LOC109398005	1
LOC109398008	0
LOC109398009	1
LOC109398010	0
LOC109398011	1
LOC109398012	3
LOC109398013	1
LOC109398015	1
LOC109398016	2
LOC109398017	4
LOC109398018	2
LOC109398020	0
LOC109398021	0
LOC109398022	0
LOC109398023	1
LOC109398026	0
LOC109398027	0
LOC109398030	0
LOC109398031	0
LOC109398034	0
LOC109398036	0
LOC109398038	0
LOC109398039	0
LOC109398041	8
LOC109398042	0
LOC109398043	0
LOC109398044	0
LOC109398045	0
LOC109398046	1
LOC109398048	0
LOC109398049	0
LOC109398050	0
LOC109398053	0
LOC109398055	1
LOC109398056	0
LOC109398057	0
LOC109398058	0
LOC109398060	0
LOC109398061	0
LOC109398064	0
LOC109398065	0
LOC109398066	0
LOC109398067	0
LOC109398068	2
LOC109398071	0
LOC109398072	0
LOC109398075	0
LOC109398076	0
LOC109398077	0
LOC109398078	0
LOC109398080	0
LOC109398082	0
LOC109398083	0
LOC109398084	8
LOC109398085	0
LOC109398088	0
LOC109398090	0
LOC109398091	0
LOC109398092	1
LOC109398093	0
LOC109398094	0
LOC109398095	0
LOC109398096	1
LOC109398100	1
LOC109398102	3
LOC109398105	0
LOC109398108	0
LOC109398109	0
LOC109398110	0
LOC109398112	0
LOC109398113	0
LOC109398116	0
LOC109398117	0
LOC109398118	0
LOC109398121	0
LOC109398137	0
LOC109398143	0
LOC109398147	0
LOC109398148	0
LOC109398151	1
LOC109398152	0
LOC109398153	0
LOC109398159	0
LOC109398160	0
LOC109398163	4
LOC109398165	0
LOC109398172	0
LOC109398173	0
LOC109398176	0
LOC109398182	0
LOC109398184	0
LOC109398186	0
LOC109398191	0
LOC109398193	0
LOC109398194	1
LOC109398200	0
LOC109398203	0
LOC109398206	0
LOC109398207	0
LOC109398209	0
LOC109398210	0
LOC109398212	0
LOC109398214	0
LOC109398218	0
LOC109398219	10
LOC109398221	0
LOC109398222	0
LOC109398223	0
LOC109398225	0
LOC109398226	0
LOC109398227	0
LOC109398231	0
LOC109398234	0
LOC109398238	0
LOC109398239	0
LOC109398244	0
LOC109398245	0
LOC109398246	0
LOC109398247	0
LOC109398248	0
LOC109398250	2
LOC109398252	0
LOC109398253	0
LOC109398254	0
LOC109398255	0
LOC109398257	0
LOC109398259	0
LOC109398260	0
LOC109398261	0
LOC109398262	0
LOC109398263	0
LOC109398264	0
LOC109398265	0
LOC109398274	0
LOC109398275	5
LOC109398277	7
LOC109398278	0
LOC109398279	0
LOC109398281	0
LOC109398282	0
LOC109398287	19
LOC109398288	0
LOC109398290	0
LOC109398291	0
LOC109398292	0
LOC109398294	0
LOC109398295	0
LOC109398296	0
LOC109398299	0
LOC109398300	1
LOC109398301	0
LOC109398302	1
LOC109398305	0
LOC109398306	0
LOC109398308	4
LOC109398309	5
LOC109398310	0
LOC109398311	0
LOC109398315	0
LOC109398316	0
LOC109398317	0
LOC109398320	0
LOC109398321	2
LOC109398322	0
LOC109398326	0
LOC109398328	0
LOC109398329	0
LOC109398330	0
LOC109398331	0
LOC109398333	0
LOC109398334	0
LOC109398338	1
LOC109398339	0
LOC109398343	0
LOC109398345	0
LOC109398346	0
LOC109398347	0
LOC109398348	0
LOC109398349	0
LOC109398350	0
LOC109398351	0
LOC109398356	0
LOC109398359	0
LOC109398360	0
LOC109398361	0
LOC109398362	0
LOC109398363	0
LOC109398378	5
LOC109398381	0
LOC109398385	0
LOC109398391	0
LOC109398392	0
LOC109398393	4
LOC109398394	1
LOC109398395	3
LOC109398396	0
LOC109398400	0
LOC109398402	2
LOC109398403	10
LOC109398404	0
LOC109398405	9
LOC109398406	0
LOC109398408	0
LOC109398409	0
LOC109398410	0
LOC109398413	0
LOC109398417	2
LOC109398419	0
LOC109398420	0
LOC109398422	0
LOC109398423	0
LOC109398425	0
LOC109398427	0
LOC109398428	0
LOC109398431	0
LOC109398432	0
LOC109398444	0
LOC109398445	0
LOC109398447	0
LOC109398450	0
LOC109398451	0
LOC109398453	0
LOC109398455	4
LOC109398456	3
LOC109398457	0
LOC109398458	2
LOC109398460	1
LOC109398465	0
LOC109398466	0
LOC109398469	1
LOC109398470	2
LOC109398471	11
LOC109398472	7
LOC109398473	0
LOC109398475	0
LOC109398492	0
LOC109398494	0
LOC109398504	0
LOC109398505	0
LOC109398506	0
LOC109398507	0
LOC109398509	0
LOC109398511	2
LOC109398512	0
LOC109398513	0
LOC109398515	1
LOC109398517	0
LOC109398518	0
LOC109398520	0
LOC109398522	0
LOC109398524	0
LOC109398530	0
LOC109398531	0
LOC109398533	0
LOC109398534	0
LOC109398535	0
LOC109398542	2
LOC109398543	0
LOC109398544	0
LOC109398549	2
LOC109398552	0
LOC109398553	0
LOC109398554	0
LOC109398556	0
LOC109398557	0
LOC109398558	0
LOC109398559	0
LOC109398560	0
LOC109398567	0
LOC109398568	0
LOC109398569	0
LOC109398571	0
LOC109398572	0
LOC109398573	0
LOC109398576	2
LOC109398577	1
LOC109398578	0
LOC109398579	0
LOC109398580	10
LOC109398581	0
LOC109398582	0
LOC109398584	0
LOC109398585	0
LOC109398586	0
LOC109398587	0
LOC109398588	0
LOC109398593	0
LOC109398594	0
LOC109398596	0
LOC109398597	0
LOC109398598	0
LOC109398599	0
LOC109398603	0
LOC109398604	0
LOC109398605	0
LOC109398610	6
LOC109398612	0
LOC109398616	0
LOC109398617	22
LOC109398618	0
LOC109398619	0
LOC109398621	0
LOC109398624	70
LOC109398627	0
LOC109398630	0
LOC109398631	0
LOC109398632	0
LOC109398634	0
LOC109398637	0
LOC109398638	0
LOC109398641	0
LOC109398642	0
LOC109398643	1
LOC109398644	0
LOC109398645	0
LOC109398650	0
LOC109398652	0
LOC109398653	0
LOC109398654	0
LOC109398655	0
LOC109398656	0
LOC109398660	0
LOC109398661	0
LOC109398663	0
LOC109398665	0
LOC109398666	0
LOC109398673	0
LOC109398676	0
LOC109398677	0
LOC109398678	0
LOC109398679	0
LOC109398681	0
LOC109398682	0
LOC109398683	0
LOC109398684	0
LOC109398685	0
LOC109398687	0
LOC109398688	0
LOC109398689	1
LOC109398692	0
LOC109398694	0
LOC109398695	0
LOC109398700	0
LOC109398702	0
LOC109398703	0
LOC109398704	0
LOC109398705	0
LOC109398706	8
LOC109398707	0
LOC109398708	0
LOC109398711	0
LOC109398712	0
LOC109398714	18
LOC109398715	0
LOC109398718	3
LOC109398719	0
LOC109398720	0
LOC109398721	0
LOC109398723	0
LOC109398724	1
LOC109398726	0
LOC109398727	0
LOC109398728	0
LOC109398729	0
LOC109398731	0
LOC109398732	0
LOC109398737	0
LOC109398738	0
LOC109398741	0
LOC109398742	0
LOC109398743	0
LOC109398744	1
LOC109398746	0
LOC109398748	3
LOC109398749	2
LOC109398750	0
LOC109398753	0
LOC109398754	1
LOC109398755	1
LOC109398756	0
LOC109398757	0
LOC109398766	0
LOC109398767	0
LOC109398772	0
LOC109398775	0
LOC109398776	0
LOC109398778	0
LOC109398780	0
